Date, Open, Close, High, Low,Change %
07/04/2021,4074.29,4079.95,4083.13,4068.31,0.14
06/04/2021,4075.57,4073.94,4086.23,4068.14,-0.04
05/04/2021,4034.44,4077.91,4083.42,4034.44,1.08
01/04/2021,3992.78,4019.87,4020.63,3992.78,0.68
31/03/2021,3967.25,3972.89,3994.41,3966.98,0.14
30/03/2021,3963.34,3958.55,3968.01,3944.35,-0.12
29/03/2021,3969.31,3971.09,3981.83,3943.25,0.04
26/03/2021,3917.12,3974.54,3978.19,3917.12,1.47
25/03/2021,3879.34,3909.52,3919.54,3853.5,0.78
24/03/2021,3919.93,3889.14,3942.08,3889.07,-0.79
